init_node,term_node
292,292000294
292000294,294
293,293000275
293000275,275
293,293000292
293000292,292
293,293000294
293000294,294
294,294000283
294000283,283
294,294000285
294000285,285
295,295000275
295000275,275
295,295000296
295000296,296
295,295000297
295000297,297
296,296000291
296000291,291
296,296000295
296000295,295
296,296000300
296000300,300
297,297000295
297000295,295
297,297000298
297000298,298
297,297000299
297000299,299
298,2980005
2980005,5
298,298000274
298000274,274
298,298000297
298000297,297
299,2990005
2990005,5
299,299000288
299000288,288
299,299000297
299000297,297
299,299000300
299000300,300
300,300000296
300000296,296
300,300000299
300000299,299
300,300000316
300000316,316
301,3010003
3010003,3
301,3010004
3010004,4
301,301000302
301000302,302
301,301000306
301000306,306
302,3020002
3020002,2
302,302000301
302000301,301
302,302000303
302000303,303
302,302000304
302000304,304
303,303000302
303000302,302
303,303000304
303000304,304
304,3040002
3040002,2
304,30400076
30400076,76
304,30400079
30400079,79
304,30400080
30400080,80
304,30400085
30400085,85
304,30400090
30400090,90
304,304000302
304000302,302
304,304000303
304000303,303
304,3040001020
3040001020,1020
305,305000312
305000312,312
305,305000313
305000313,313
305,305000321
305000321,321
306,3060003
3060003,3
306,3060004
3060004,4
306,306000301
306000301,301
306,306000308
306000308,308
306,306000310
306000310,310
306,3060001020
3060001020,1020
307,3070001
3070001,1
307,307000308
307000308,308
307,307000311
307000311,311
307,307000312
307000312,312
308,308000306
308000306,306
308,308000307
308000307,307
308,308000309
308000309,309
309,309000308
309000308,308
309,309000310
309000310,310
309,309000311
309000311,311
310,3100005
3100005,5
310,310000278
310000278,278
310,310000306
310000306,306
310,310000309
310000309,309
311,311000307
311000307,307
311,311000309
311000309,309
311,311000316
311000316,316
312,312000305
312000305,305
312,312000307
312000307,307
312,312000315
312000315,315
313,31300074
31300074,74
313,31300079
31300079,79
313,31300080
31300080,80
313,31300084
31300084,84
313,31300085
31300085,85
313,31300086
31300086,86
313,31300088
31300088,88
313,31300089
31300089,89
313,31300090
31300090,90
313,313000105
313000105,105
313,313000107
313000107,107
313,313000305
313000305,305
313,313000312
313000312,312
313,313000315
313000315,315
314,314000276
314000276,276
314,314000315
314000315,315
314,314000316
314000316,316
315,315000305
315000305,305
315,315000312
315000312,312
315,315000313
315000313,313
315,315000314
315000314,314
316,3160001
3160001,1
316,316000300
316000300,300
316,316000311
316000311,311
316,316000314
316000314,314
317,317000319
317000319,319
317,317000333
317000333,333
317,317000841
317000841,841
317,31700027
31700027,27
318,318000332
318000332,332
318,318000334
318000334,334
319,319000317
319000317,317
319,319000321
319000321,321
319,319000334
319000334,334
320,320000329
320000329,329
320,320000340
320000340,340
321,32100074
32100074,74
321,32100090
32100090,90
321,321000305
321000305,305
321,321000319
321000319,319
321,321000335
321000335,335
322,32200074
32200074,74
322,32200076
32200076,76
322,32200077
32200077,77
322,32200081
32200081,81
322,32200082
32200082,82
322,32200083
32200083,83
322,32200085
32200085,85
322,32200086
32200086,86
322,32200087
32200087,87
322,32200088
32200088,88
322,32200090
32200090,90
322,322000318
322000318,318
322,322000335
322000335,335
322,322000844
322000844,844
322,32200026
32200026,26
323,323000320
323000320,320
323,323000324
323000324,324
323,323000833
323000833,833
324,324000323
324000323,323
324,324000333
324000333,333
325,325000323
325000323,323
325,325000326
325000326,326
325,325000334
325000334,334
325,32500029
32500029,29
325,325000340
325000340,340
326,326000286
326000286,286
326,326000325
326000325,325
326,326000327
326000327,327
327,327000276
327000276,276
327,327000290
327000290,290
327,327000331
327000331,331
328,328000320
328000320,320
328,328000330
328000330,330
328,32800028
32800028,28
328,3280001014
3280001014,1014
329,329000328
329000328,328
329,329000339
329000339,339
330,330000323
330000323,323
330,330000833
330000833,833
331,331000327
331000327,327
331,331000335
331000335,335
331,33100029
33100029,29
332,332000333
332000333,333
332,332000851
332000851,851
333,333000317
333000317,317
333,333000324
333000324,324
333,333000332
333000332,332
333,33300027
33300027,27
334,334000319
334000319,319
334,334000325
334000325,325
334,334000332
334000332,332
335,335000321
335000321,321
335,335000322
335000322,322
335,335000331
335000331,331
336,336000758
336000758,758
336,336000834
336000834,834
336,3360001016
3360001016,1016
336,3360001017
3360001017,1017
337,337000336
337000336,336
337,3370001015
3370001015,1015
338,338000337
338000337,337
338,338000364
338000364,364
338,338000448
338000448,448
339,339000329
339000329,329
339,339000350
339000350,350
339,339000367
339000367,367
339,339000448
339000448,448
339,33900028
33900028,28
339,3390001014
3390001014,1014
340,340000325
340000325,325
340,340000351
340000351,351
340,340000352
340000352,352
340,34000030
34000030,30
340,340000399
340000399,399
341,341000346
341000346,346
342,342000382
342000382,382
342,342000408
342000408,408
343,343000404
343000404,404
343,343000785
343000785,785
344,344000378
344000378,378
344,344000383
344000383,383
345,345000354
345000354,354
345,345000355
345000355,355
345,345000387
345000387,387
346,346000326
346000326,326
346,346000353
346000353,353
347,347000371
347000371,371
347,347000399
347000399,399
347,34700032
34700032,32
347,347000446
347000446,446
348,348000389
348000389,389
348,348000444
348000444,444
349,349000392
349000392,392
349,349000395
349000395,395
349,34900037
34900037,37
350,350000329
350000329,329
350,350000339
350000339,339
350,350000351
350000351,351
351,351000340
351000340,340
351,351000350
351000350,350
351,351000398
351000398,398
352,352000341
352000341,341
352,352000377
352000377,377
353,353000287
353000287,287
354,354000345
354000345,345
354,354000425
354000425,425
355,355000345
355000345,345
355,355000356
355000356,356
355,355000358
355000358,358
355,35500032
35500032,32
356,356000355
356000355,355
356,356000417
356000417,417
356,356000423
356000423,423
356,35600032
35600032,32
357,357000345
357000345,345
357,357000425
357000425,425
358,358000357
358000357,357
358,358000429
358000429,429
359,359000356
359000356,356
359,359000358
359000358,358
360,360000357
360000357,357
360,360000428
360000428,428
360,360000435
360000435,435
361,361000359
361000359,359
361,361000430
361000430,430
362,362000432
362000432,432
362,362000434
362000434,434
362,362000438
362000438,438
363,363000440
363000440,440
364,364000338
364000338,338
364,364000758
364000758,758
364,364000779
364000779,779
365,365000338
365000338,338
365,365000368
365000368,368
365,365000448
365000448,448
366,366000338
366000338,338
366,366000365
366000365,365
366,366000369
366000369,369
366,36600031
36600031,31
367,367000365
367000365,365
367,367000368
367000368,368
368,368000369
368000369,369
368,368000400
368000400,400
369,369000768
369000768,768
370,370000367
370000367,367
370,370000400
370000400,400
371,371000398
371000398,398
371,371000399
371000399,399
372,372000371
372000371,371
372,372000374
372000374,374
373,373000370
373000370,370
373,373000372
373000372,372
374,374000347
374000347,347
374,374000446
374000446,446
375,375000373
375000373,373
375,375000374
375000374,374
376,376000375
376000375,375
376,376000381
376000381,381
377,377000378
377000378,378
377,377000383
377000383,383
378,378000347
378000347,347
378,378000379
378000379,379
379,379000380
379000380,380
379,379000384
379000384,384
380,380000381
380000381,381
380,380000447
380000447,447
381,381000405
381000405,405
381,381000407
381000407,407
381,381000447
381000447,447
382,382000405
382000405,405
382,382000406
382000406,406
383,383000341
383000341,341
383,383000409
383000409,409
384,384000344
384000344,344
384,384000411
384000411,411
385,385000380
385000380,380
385,385000384
385000384,384
386,386000353
386000353,353
386,386000354
386000354,354
387,387000386
387000386,386
387,387000410
387000410,410
388,388000343
388000343,343
388,388000442
388000442,442
389,389000388
389000388,388
389,389000801
389000801,801
390,390000382
390000382,382
390,390000391
390000391,391
391,391000342
391000342,342
391,391000393
391000393,393
392,392000390
392000390,390
392,392000391
392000391,391
392,392000443
392000443,443
393,393000394
393000394,394
393,393000421
393000421,421
393,39300037
39300037,37
394,394000392
394000392,392
394,394000395
394000395,395
395,395000396
395000396,396
395,395000493
395000493,493
396,396000422
396000422,422
396,396000464
396000464,464
397,397000370
397000370,370
397,397000372
397000372,372
398,398000397
398000397,397
398,398000445
398000445,445
399,399000340
399000340,340
399,399000347
399000347,347
399,399000351
399000351,351
400,400000401
400000401,401
400,400000402
400000402,402
401,401000403
401000403,403
401,401000808
401000808,808
402,402000373
402000373,373
402,402000376
402000376,376
403,403000402
403000402,402
403,403000404
403000404,404
404,404000376
404000376,376
404,404000405
404000405,405
405,405000381
405000381,381
405,405000406
405000406,406
405,405000408
405000408,408
405,40500031
40500031,31
406,406000343
406000343,343
406,406000442
406000442,442
407,407000385
407000385,385
407,407000413
407000413,413
408,408000407
408000407,407
408,408000414
408000414,414
409,409000386
409000386,386
409,409000410
409000410,410
410,410000344
410000344,344
410,410000411
410000411,411
411,411000412
411000412,412
411,411000416
411000416,416
412,412000385
412000385,385
412,412000413
412000413,413
413,413000414
413000414,414
413,413000418
413000418,418
414,414000415
414000415,415
414,414000419
414000419,419
415,415000342
415000342,342
415,415000393
415000393,393
416,416000355
416000355,355
416,416000387
416000387,387
417,417000412
417000412,412
417,417000416
417000416,416
418,418000417
418000417,417
418,418000423
418000423,423
419,419000418
419000418,418
419,419000424
419000424,424
420,420000415
420000415,415
420,420000419
420000419,419
421,421000420
421000420,420
421,421000474
421000474,474
422,422000394
422000394,394
422,422000421
422000421,421
423,423000356
423000356,356
423,423000424
423000424,424
423,423000426
423000426,426
424,4240006
4240006,6
424,424000423
424000423,423
424,424000427
424000427,427
424,424000452
424000452,452
425,4250006
4250006,6
425,425000279
425000279,279
425,425000428
425000428,428
426,426000359
426000359,359
427,427000426
427000426,426
427,427000431
427000431,431
428,428000279
428000279,279
428,428000282
428000282,282
428,428000360
428000360,360
429,429000361
429000361,361
429,429000435
429000435,435
430,430000362
430000362,362
430,430000426
430000426,426
430,430000431
430000431,431
431,431000436
431000436,436
431,431000449
431000449,449
432,432000361
432000361,361
432,432000435
432000435,435
433,433000280
433000280,280
433,433000434
433000434,434
434,434000362
434000362,362
434,434000432
434000432,432
435,435000360
435000360,360
435,435000432
435000432,432
435,435000433
435000433,433
436,436000362
436000362,362
436,436000363
436000363,363
437,437000434
437000434,434
438,438000439
438000439,439
439,439000284
439000284,284
440,440000441
440000441,441
441,441000281
441000281,281
442,442000390
442000390,390
442,442000443
442000443,443
443,443000389
443000389,389
443,443000444
443000444,444
444,444000349
444000349,349
444,444000504
444000504,504
445,445000339
445000339,339
445,445000350
445000350,350
446,446000347
446000347,347
446,446000379
446000379,379
446,446000447
446000447,447
447,447000375
447000375,375
447,447000381
447000381,381
447,447000446
447000446,446
448,448000338
448000338,338
448,448000339
448000339,339
448,44800031
44800031,31
449,449000477
449000477,477
449,449000519
449000519,519
450,450000492
450000492,492
450,450000497
450000497,497
450,450000507
450000507,507
450,45000044
45000044,44
451,451000491
451000491,491
451,451000495
451000495,495
452,452000420
452000420,420
452,452000424
452000424,424
452,452000474
452000474,474
453,453000459
453000459,459
453,453000468
453000468,468
453,453000475
453000475,475
454,454000213
454000213,213
454,454000455
454000455,455
454,454000475
454000475,475
454,454000513
454000513,513
455,455000454
455000454,454
455,455000471
455000471,471
455,455000520
455000520,520
455,45500044
45500044,44
456,4560006
4560006,6
456,4560008
4560008,8
456,456000488
456000488,488
456,456000489
456000489,489
457,457000490
457000490,490
457,457000507
457000507,507
457,457000806
457000806,806
458,458000460
458000460,460
458,458000505
458000505,505
458,45800037
45800037,37
459,459000453
459000453,453
459,459000464
459000464,464
459,459000499
459000499,499
459,45900037
45900037,37
460,460000348
460000348,348
460,460000803
460000803,803
461,461000457
461000457,457
461,461000508
461000508,508
462,462000450
462000450,450
462,462000498
462000498,498
463,463000213
463000213,213
463,463000486
463000486,486
464,464000459
464000459,459
464,464000479
464000479,479
464,464000517
464000517,517
465,465000480
465000480,480
465,465000484
465000484,484
466,466000459
466000459,459
466,466000480
466000480,480
466,466000487
466000487,487
467,467000349
467000349,349
467,467000504
467000504,504
468,468000483
468000483,483
468,468000487
468000487,487
469,469000210
469000210,210
469,469000545
469000545,545
469,469000547
469000547,547
470,470000463
470000463,463
470,470000481
470000481,481
471,471000455
471000455,455
471,471000476
471000476,476
471,471000515
471000515,515
472,472000462
472000462,462
472,472000509
472000509,509
473,473000461
473000461,461
473,473000819
473000819,819
473,47300044
47300044,44
474,4740008
4740008,8
474,474000452
474000452,452
474,474000478
474000478,478
474,474000517
474000517,517
475,475000214
475000214,214
475,475000453
475000453,453
475,475000454
475000454,454
475,475000512
475000512,512
476,476000471
476000471,471
476,476000482
476000482,482
476,476000568
476000568,568
477,477000427
477000427,427
477,477000452
477000452,452
478,478000477
478000477,477
478,478000519
478000519,519
479,479000465
479000465,465
479,479000518
479000518,518
480,4800008
4800008,8
480,480000465
480000465,465
480,480000466
480000466,466
480,480000479
480000479,479
481,481000471
481000471,471
481,481000482
481000482,482
482,482000485
482000485,485
482,482000569
482000569,569
483,483000205
483000205,205
484,484000465
484000465,465
484,484000489
484000489,489
484,484000518
484000518,518
485,485000470
485000470,470
485,485000546
485000546,546
486,486000469
486000469,469
486,486000545
486000545,545
487,487000466
487000466,466
487,487000483
487000483,483
488,488000436
488000436,436
488,488000449
488000449,449
489,489000215
489000215,215
489,489000456
489000456,456
489,489000484
489000484,484
489,489000488
489000488,488
490,490000458
490000458,458
490,490000506
490000506,506
490,490000805
490000805,805
491,491000467
491000467,467
491,491000494
491000494,494
492,492000451
492000451,451
492,492000496
492000496,496
492,492000506
492000506,506
493,493000467
493000467,467
493,493000494
493000494,494
494,494000495
494000495,495
495,495000496
495000496,496
495,495000511
495000511,511
496,496000492
496000492,492
496,496000497
496000497,497
496,496000512
496000512,512
497,497000450
497000450,450
497,497000498
497000498,498
497,497000513
497000513,513
498,498000500
498000500,500
498,498000514
498000514,514
499,499000396
499000396,396
499,499000493
499000493,493
500,500000472
500000472,472
500,500000503
500000503,503
501,501000473
501000473,473
501,501000510
501000510,510
502,502000472
502000472,472
502,502000503
502000503,503
503,503000516
503000516,516
503,503000566
503000566,566
503,50300044
50300044,44
504,504000460
504000460,460
504,504000505
504000505,505
505,505000451
505000451,451
505,505000506
505000506,506
506,506000490
506000490,490
506,506000492
506000492,492
506,506000507
506000507,507
507,507000450
507000450,450
507,507000457
507000457,457
507,507000508
507000508,508
508,508000462
508000462,462
508,508000509
508000509,509
509,509000473
509000473,473
509,509000510
509000510,510
510,510000502
510000502,502
510,510000564
510000564,564
511,511000453
511000453,453
511,511000499
511000499,499
512,512000475
512000475,475
512,512000496
512000496,496
512,512000511
512000511,511
513,513000454
513000454,454
513,513000497
513000497,497
513,513000512
513000512,512
514,514000455
514000455,455
514,514000513
514000513,513
515,515000500
515000500,500
515,515000514
515000514,514
516,516000476
516000476,476
516,516000515
516000515,515
517,517000422
517000422,422
517,517000464
517000464,464
517,517000474
517000474,474
518,518000478
518000478,478
518,518000517
518000517,517
519,519000484
519000484,484
519,519000489
519000489,489
520,520000463
520000463,463
520,520000481
520000481,481
521,521000527
521000527,527
521,521000528
521000528,528
521,521000551
521000551,551
521,521000555
521000555,555
521,521000682
521000682,682
522,522000529
522000529,529
522,522000551
522000551,551
522,522000552
522000552,552
522,52200045
